62027.1
{0, 0, 0}	{-277.853, 44.805, 149.018}
{0, 0, 1.11111}	{3.02665, -259.429, 313.043}
{0, 0, 2.22222}	{-242.987, -6.2656, 87.787}
{0, 0, 3.33333}	{101.044, -149.325, 58.0383}
{0, 0, 4.44444}	{440.356, -140.58, -421.295}
{0, 0, 5.55556}	{-32.3773, 152.865, -525.672}
{0, 0, 6.66667}	{91.3442, -558.37, 149.086}
{0, 0, 7.77778}	{-194.109, 424.388, 116.252}
{0, 0, 8.88889}	{-142.043, 365.028, -421.145}
{0, 0, 10}	{-186.526, 21.9234, -175.49}
{0, 1.11111, 0}	{222.415, -45.282, 492.142}
{0, 1.11111, 1.11111}	{311.895, 192.202, -13.0338}
{0, 1.11111, 2.22222}	{190.094, 103.192, -332.593}
{0, 1.11111, 3.33333}	{-75.149, 10.561, 425.075}
{0, 1.11111, 4.44444}	{-70.8357, 259.348, 25.8242}
{0, 1.11111, 5.55556}	{344.747, 69.9677, 382.984}
{0, 1.11111, 6.66667}	{476.889, 308.486, 25.0993}
{0, 1.11111, 7.77778}	{71.8047, 79.221, -106.225}
{0, 1.11111, 8.88889}	{256.279, -19.1315, -330.446}
{0, 1.11111, 10}	{180.995, 267.397, 142.631}
{0, 2.22222, 0}	{-176.392, 139.894, 24.8395}
{0, 2.22222, 1.11111}	{-142.442, -259.143, -398.601}
{0, 2.22222, 2.22222}	{237.416, -91.9399, -79.8269}
{0, 2.22222, 3.33333}	{-100.773, -72.4535, 347.892}
{0, 2.22222, 4.44444}	{160.967, -434.301, -162.422}
{0, 2.22222, 5.55556}	{-119.421, -99.8486, 227.915}
{0, 2.22222, 6.66667}	{-314.219, 46.0639, -243.497}
{0, 2.22222, 7.77778}	{-109.028, -192.205, -29.26}
{0, 2.22222, 8.88889}	{-58.6408, -55.162, 470.56}
{0, 2.22222, 10}	{-21.2626, 508.574, 121.479}
{0, 3.33333, 0}	{133.477, 261.445, -352.832}
{0, 3.33333, 1.11111}	{27.6923, 461.729, -86.2544}
{0, 3.33333, 2.22222}	{-326.09, -399.449, 164.495}
{0, 3.33333, 3.33333}	{-283.471, 282.501, 392.038}
{0, 3.33333, 4.44444}	{192.075, 8.10939, 201.671}
{0, 3.33333, 5.55556}	{211.439, 215.819, -299.374}
{0, 3.33333, 6.66667}	{272.657, -252.877, 106.984}
{0, 3.33333, 7.77778}	{-8.63375, -314.552, 3.21858}
{0, 3.33333, 8.88889}	{118.724, -180.059, 354.653}
{0, 3.33333, 10}	{16.3862, 118.674, -116.551}
{0, 4.44444, 0}	{272.511, 138.681, 175.684}
{0, 4.44444, 1.11111}	{77.5838, -43.9617, 388.362}
{0, 4.44444, 2.22222}	{177.611, 234.891, 235.402}
{0, 4.44444, 3.33333}	{-79.1573, -347.807, 122.322}
{0, 4.44444, 4.44444}	{-29.2443, 415.68, 164.024}
{0, 4.44444, 5.55556}	{-23.8831, -270.968, -295.784}
{0, 4.44444, 6.66667}	{369.098, 215.476, 79.8653}
{0, 4.44444, 7.77778}	{-222.014, -218.203, 163.464}
{0, 4.44444, 8.88889}	{-168.764, -63.5875, 99.1216}
{0, 4.44444, 10}	{51.2833, 215.71, 213.38}
{0, 5.55556, 0}	{-197.04, 140.191, -420.655}
{0, 5.55556, 1.11111}	{261.99, 203.093, -348.279}
{0, 5.55556, 2.22222}	{-26.0211, 264.84, 511.038}
{0, 5.55556, 3.33333}	{-73.458, 47.5448, -8.10382}
{0, 5.55556, 4.44444}	{-247.023, -30.1453, 42.1961}
